,customer_id,cluster_solution,cluster_solution_name
0,46556,2,Pet Lovers
1,15771,2,Pet Lovers
2,36314,2,Pet Lovers
3,36674,2,Pet Lovers
4,8669,2,Pet Lovers
5,43026,2,Pet Lovers
6,29437,2,Pet Lovers
7,31843,2,Pet Lovers
8,22468,2,Pet Lovers
9,33207,2,Pet Lovers
10,26283,2,Pet Lovers
11,19780,2,Pet Lovers
12,18635,2,Pet Lovers
13,28835,2,Pet Lovers
14,5274,2,Pet Lovers
15,20785,2,Pet Lovers
16,14424,2,Pet Lovers
17,9745,2,Pet Lovers
18,13129,2,Pet Lovers
19,34791,2,Pet Lovers
20,26984,2,Pet Lovers
21,27231,2,Pet Lovers
22,43947,2,Pet Lovers
23,22542,2,Pet Lovers
24,47539,2,Pet Lovers
25,8679,2,Pet Lovers
26,33933,2,Pet Lovers
27,38556,2,Pet Lovers
28,18517,2,Pet Lovers
29,19077,2,Pet Lovers
30,28849,2,Pet Lovers
31,48041,2,Pet Lovers
32,6882,2,Pet Lovers
33,17750,2,Pet Lovers
34,8782,2,Pet Lovers
35,1810,2,Pet Lovers
36,49124,2,Pet Lovers
37,32733,2,Pet Lovers
38,33532,2,Pet Lovers
39,41377,2,Pet Lovers
40,29759,2,Pet Lovers
41,43261,2,Pet Lovers
42,35334,2,Pet Lovers
43,47164,2,Pet Lovers
44,37226,2,Pet Lovers
45,38196,2,Pet Lovers
46,2114,2,Pet Lovers
47,36293,2,Pet Lovers
48,21176,2,Pet Lovers
49,966,2,Pet Lovers
50,42297,2,Pet Lovers
51,46620,2,Pet Lovers
52,12411,2,Pet Lovers
53,4623,2,Pet Lovers
54,14672,2,Pet Lovers
55,354,2,Pet Lovers
56,26687,2,Pet Lovers
57,14530,2,Pet Lovers
58,33383,2,Pet Lovers
59,32382,2,Pet Lovers
60,6070,2,Pet Lovers
61,9925,2,Pet Lovers
62,43084,2,Pet Lovers
63,11517,2,Pet Lovers
64,24878,2,Pet Lovers
65,19456,2,Pet Lovers
66,43404,2,Pet Lovers
67,11343,2,Pet Lovers
68,42085,2,Pet Lovers
69,10574,2,Pet Lovers
70,13104,2,Pet Lovers
71,45504,2,Pet Lovers
72,27423,2,Pet Lovers
73,43310,2,Pet Lovers
74,18757,2,Pet Lovers
75,13770,2,Pet Lovers
76,8592,2,Pet Lovers
77,12866,2,Pet Lovers
78,10980,2,Pet Lovers
79,10468,2,Pet Lovers
80,12490,2,Pet Lovers
81,1537,2,Pet Lovers
82,15144,2,Pet Lovers
83,6329,2,Pet Lovers
84,33811,2,Pet Lovers
85,11619,2,Pet Lovers
86,46905,2,Pet Lovers
87,44452,2,Pet Lovers
88,47206,2,Pet Lovers
89,40769,2,Pet Lovers
90,35800,2,Pet Lovers
91,44998,2,Pet Lovers
92,18266,2,Pet Lovers
93,5504,2,Pet Lovers
94,38407,2,Pet Lovers
95,6886,2,Pet Lovers
96,40708,2,Pet Lovers
97,45756,2,Pet Lovers
98,35659,2,Pet Lovers
99,45043,2,Pet Lovers
100,38714,2,Pet Lovers
101,18313,2,Pet Lovers
102,39137,2,Pet Lovers
103,49381,2,Pet Lovers
104,25729,2,Pet Lovers
105,9949,2,Pet Lovers
106,32694,2,Pet Lovers
107,21263,2,Pet Lovers
108,12896,2,Pet Lovers
109,44742,2,Pet Lovers
110,33909,2,Pet Lovers
111,19040,2,Pet Lovers
112,28250,2,Pet Lovers
113,9385,2,Pet Lovers
114,9903,2,Pet Lovers
115,10445,2,Pet Lovers
116,19430,2,Pet Lovers
117,6181,2,Pet Lovers
118,522,2,Pet Lovers
119,39781,2,Pet Lovers
120,25211,2,Pet Lovers
121,18201,2,Pet Lovers
122,41080,2,Pet Lovers
123,2692,2,Pet Lovers
124,16085,2,Pet Lovers
125,36798,2,Pet Lovers
126,13259,2,Pet Lovers
127,33938,2,Pet Lovers
128,43095,2,Pet Lovers
129,22426,2,Pet Lovers
130,9071,2,Pet Lovers
131,15675,2,Pet Lovers
132,24261,2,Pet Lovers
133,50,2,Pet Lovers
134,30744,2,Pet Lovers
135,46344,2,Pet Lovers
136,26979,2,Pet Lovers
137,13223,2,Pet Lovers
138,30489,2,Pet Lovers
139,10997,2,Pet Lovers
140,138,2,Pet Lovers
141,43490,2,Pet Lovers
142,32042,2,Pet Lovers
143,37940,2,Pet Lovers
144,49299,2,Pet Lovers
145,15292,2,Pet Lovers
146,38170,2,Pet Lovers
147,30241,2,Pet Lovers
148,36944,2,Pet Lovers
149,39588,2,Pet Lovers
150,15570,2,Pet Lovers
151,45731,2,Pet Lovers
152,8246,2,Pet Lovers
153,37298,2,Pet Lovers
154,1880,2,Pet Lovers
155,25524,2,Pet Lovers
156,5799,2,Pet Lovers
157,4896,2,Pet Lovers
158,49810,2,Pet Lovers
159,11726,2,Pet Lovers
160,36661,2,Pet Lovers
161,46934,2,Pet Lovers
162,37232,2,Pet Lovers
163,14047,2,Pet Lovers
164,4100,2,Pet Lovers
165,27716,2,Pet Lovers
166,13188,2,Pet Lovers
167,15722,2,Pet Lovers
168,14761,2,Pet Lovers
169,15381,2,Pet Lovers
170,23286,2,Pet Lovers
171,24822,2,Pet Lovers
172,1770,2,Pet Lovers
173,37963,2,Pet Lovers
174,2563,2,Pet Lovers
175,8871,2,Pet Lovers
176,36708,2,Pet Lovers
177,22831,2,Pet Lovers
178,4958,2,Pet Lovers
179,24377,2,Pet Lovers
180,31821,2,Pet Lovers
181,4086,2,Pet Lovers
182,41624,2,Pet Lovers
183,9190,2,Pet Lovers
184,38124,2,Pet Lovers
185,14060,2,Pet Lovers
186,21801,2,Pet Lovers
187,9612,2,Pet Lovers
188,41667,2,Pet Lovers
189,17757,2,Pet Lovers
190,48182,2,Pet Lovers
191,40841,2,Pet Lovers
192,29441,2,Pet Lovers
193,22097,2,Pet Lovers
194,27024,2,Pet Lovers
195,40973,2,Pet Lovers
196,39700,2,Pet Lovers
197,30304,2,Pet Lovers
198,15010,2,Pet Lovers
199,38204,2,Pet Lovers
200,26636,2,Pet Lovers
201,27875,2,Pet Lovers
202,9616,2,Pet Lovers
203,31434,2,Pet Lovers
204,23681,2,Pet Lovers
205,18572,2,Pet Lovers
206,11445,2,Pet Lovers
207,28613,2,Pet Lovers
208,10092,2,Pet Lovers
209,35906,2,Pet Lovers
210,49334,2,Pet Lovers
211,37987,2,Pet Lovers
212,30224,2,Pet Lovers
213,32117,2,Pet Lovers
214,12542,2,Pet Lovers
215,41924,2,Pet Lovers
216,11835,2,Pet Lovers
217,36324,2,Pet Lovers
218,24302,2,Pet Lovers
219,28254,2,Pet Lovers
220,24481,2,Pet Lovers
221,35598,2,Pet Lovers
222,49160,2,Pet Lovers
223,43898,2,Pet Lovers
224,7133,2,Pet Lovers
225,35358,2,Pet Lovers
226,31684,2,Pet Lovers
227,34493,2,Pet Lovers
228,49589,2,Pet Lovers
229,4942,2,Pet Lovers
230,8615,2,Pet Lovers
231,24772,2,Pet Lovers
232,35005,2,Pet Lovers
233,5226,2,Pet Lovers
234,22296,2,Pet Lovers
235,1781,2,Pet Lovers
236,23760,2,Pet Lovers
237,37197,2,Pet Lovers
238,33084,2,Pet Lovers
239,27821,2,Pet Lovers
240,4941,2,Pet Lovers
241,48885,2,Pet Lovers
242,25839,2,Pet Lovers
243,36712,2,Pet Lovers
244,8501,2,Pet Lovers
245,9532,2,Pet Lovers
246,17810,2,Pet Lovers
247,44683,2,Pet Lovers
248,35380,2,Pet Lovers
249,1522,2,Pet Lovers
250,21748,2,Pet Lovers
251,28725,2,Pet Lovers
252,1131,2,Pet Lovers
253,6633,2,Pet Lovers
254,43873,2,Pet Lovers
255,37545,2,Pet Lovers
256,27442,2,Pet Lovers
257,27469,2,Pet Lovers
258,41943,2,Pet Lovers
259,6462,2,Pet Lovers
260,34768,2,Pet Lovers
261,8330,2,Pet Lovers
262,34620,2,Pet Lovers
263,18586,2,Pet Lovers
264,25113,2,Pet Lovers
265,45415,2,Pet Lovers
266,43838,2,Pet Lovers
267,41972,2,Pet Lovers
268,44098,2,Pet Lovers
269,49550,2,Pet Lovers
270,20931,2,Pet Lovers
271,39310,2,Pet Lovers
272,16158,2,Pet Lovers
273,8725,2,Pet Lovers
274,34780,2,Pet Lovers
275,5790,2,Pet Lovers
276,23960,2,Pet Lovers
277,3848,2,Pet Lovers
278,13109,2,Pet Lovers
279,45502,2,Pet Lovers
280,40972,2,Pet Lovers
281,23550,2,Pet Lovers
282,27560,2,Pet Lovers
283,44697,2,Pet Lovers
284,9097,2,Pet Lovers
285,24299,2,Pet Lovers
286,47243,2,Pet Lovers
287,900,2,Pet Lovers
288,2571,2,Pet Lovers
289,31769,2,Pet Lovers
290,36672,2,Pet Lovers
291,41097,2,Pet Lovers
292,7530,2,Pet Lovers
293,30500,2,Pet Lovers
294,45673,2,Pet Lovers
295,27304,2,Pet Lovers
296,2020,2,Pet Lovers
297,13244,2,Pet Lovers
298,49648,2,Pet Lovers
299,28313,2,Pet Lovers
300,28637,2,Pet Lovers
301,36393,2,Pet Lovers
302,39918,2,Pet Lovers
303,29431,2,Pet Lovers
304,3712,2,Pet Lovers
305,3219,2,Pet Lovers
306,23235,2,Pet Lovers
307,6224,2,Pet Lovers
308,49980,2,Pet Lovers
309,19270,2,Pet Lovers
310,11715,2,Pet Lovers
311,36827,2,Pet Lovers
312,2448,2,Pet Lovers
313,4411,2,Pet Lovers
314,42644,2,Pet Lovers
315,28790,2,Pet Lovers
316,21727,2,Pet Lovers
317,48137,2,Pet Lovers
318,37362,2,Pet Lovers
319,48949,2,Pet Lovers
320,39949,2,Pet Lovers
321,10254,2,Pet Lovers
322,19633,2,Pet Lovers
323,38181,2,Pet Lovers
324,7737,2,Pet Lovers
325,15308,2,Pet Lovers
326,8488,2,Pet Lovers
327,7607,2,Pet Lovers
328,38280,2,Pet Lovers
329,19402,2,Pet Lovers
330,10376,2,Pet Lovers
331,30193,2,Pet Lovers
332,33513,2,Pet Lovers
333,12750,2,Pet Lovers
334,44299,2,Pet Lovers
335,24781,2,Pet Lovers
336,44980,2,Pet Lovers
337,10926,2,Pet Lovers
338,16949,2,Pet Lovers
339,38772,2,Pet Lovers
340,41499,2,Pet Lovers
341,3960,2,Pet Lovers
342,27679,2,Pet Lovers
343,30956,2,Pet Lovers
344,1317,2,Pet Lovers
345,41330,2,Pet Lovers
346,17260,2,Pet Lovers
347,31729,2,Pet Lovers
348,36806,2,Pet Lovers
349,15134,2,Pet Lovers
350,3625,2,Pet Lovers
351,24278,2,Pet Lovers
352,25614,2,Pet Lovers
353,43011,2,Pet Lovers
354,47813,2,Pet Lovers
355,40494,2,Pet Lovers
356,48494,2,Pet Lovers
357,23514,2,Pet Lovers
358,15147,2,Pet Lovers
359,45134,2,Pet Lovers
360,48232,2,Pet Lovers
361,32577,2,Pet Lovers
362,27494,2,Pet Lovers
363,8106,2,Pet Lovers
364,3599,2,Pet Lovers
365,21007,2,Pet Lovers
366,17103,2,Pet Lovers
367,34295,2,Pet Lovers
368,4058,2,Pet Lovers
369,6558,2,Pet Lovers
370,14992,2,Pet Lovers
371,33955,2,Pet Lovers
372,11052,2,Pet Lovers
373,15766,2,Pet Lovers
374,18239,2,Pet Lovers
375,37327,2,Pet Lovers
376,21233,2,Pet Lovers
377,45403,2,Pet Lovers
378,17767,2,Pet Lovers
379,40386,2,Pet Lovers
380,5766,2,Pet Lovers
381,43758,2,Pet Lovers
382,39660,2,Pet Lovers
383,24103,2,Pet Lovers
384,34335,2,Pet Lovers
385,36828,2,Pet Lovers
386,699,2,Pet Lovers
387,45189,2,Pet Lovers
388,26710,2,Pet Lovers
389,30953,2,Pet Lovers
390,19251,2,Pet Lovers
391,33026,2,Pet Lovers
392,48903,2,Pet Lovers
393,17241,2,Pet Lovers
394,26200,2,Pet Lovers
395,36566,2,Pet Lovers
396,28799,2,Pet Lovers
397,7438,2,Pet Lovers
398,24964,2,Pet Lovers
399,48131,2,Pet Lovers
400,46838,2,Pet Lovers
401,40536,2,Pet Lovers
402,23177,2,Pet Lovers
403,2966,2,Pet Lovers
404,9477,2,Pet Lovers
405,22276,2,Pet Lovers
406,43557,2,Pet Lovers
407,33402,2,Pet Lovers
408,16742,2,Pet Lovers
409,38236,2,Pet Lovers
410,26848,2,Pet Lovers
411,49570,2,Pet Lovers
412,14686,2,Pet Lovers
413,35854,2,Pet Lovers
414,49494,2,Pet Lovers
415,15449,2,Pet Lovers
416,44773,2,Pet Lovers
417,5959,2,Pet Lovers
418,5936,2,Pet Lovers
419,45409,2,Pet Lovers
420,4135,2,Pet Lovers
421,36619,2,Pet Lovers
422,36101,2,Pet Lovers
423,17679,2,Pet Lovers
424,22922,2,Pet Lovers
425,45592,2,Pet Lovers
426,22498,2,Pet Lovers
427,48136,2,Pet Lovers
428,28852,2,Pet Lovers
429,30098,2,Pet Lovers
430,22182,2,Pet Lovers
431,4609,2,Pet Lovers
432,42285,2,Pet Lovers
433,40681,2,Pet Lovers
434,6675,2,Pet Lovers
435,7991,2,Pet Lovers
436,40832,2,Pet Lovers
437,12076,2,Pet Lovers
438,7099,2,Pet Lovers
439,48280,2,Pet Lovers
440,37485,2,Pet Lovers
441,3079,2,Pet Lovers
442,24029,2,Pet Lovers
443,48499,2,Pet Lovers
444,48047,2,Pet Lovers
445,10392,2,Pet Lovers
446,3178,2,Pet Lovers
447,47096,2,Pet Lovers
448,35055,2,Pet Lovers
449,12453,2,Pet Lovers
450,49368,2,Pet Lovers
451,23771,2,Pet Lovers
452,40520,2,Pet Lovers
453,5670,2,Pet Lovers
454,9297,2,Pet Lovers
455,514,2,Pet Lovers
